8.95	1870	10.33	8.55	7.97
9.01333	1871	10.30	8.60	8.14
8.97	1872	10.35	8.58	7.98
9.1	1873	10.29	8.85	8.16
9.05667	1874	10.33	8.74	8.10
9.02	1875	10.32	8.70	8.04
9	1876	10.32	8.69	7.99
9.12	1877	10.38	8.77	8.21
9.01667	1878	10.36	8.79	7.90
9.00333	1879	10.34	8.74	7.93
9.07667	1880	10.38	8.75	8.10
9.28333	1881	10.42	9.28	8.15
9.25	1882	10.41	8.94	8.40
9.07667	1883	10.26	8.86	8.11
9.14333	1884	10.26	8.85	8.32
9.03333	1885	10.26	8.76	8.08
8.96	1886	10.26	8.60	8.02
8.84667	1887	10.26	8.44	7.84
9.08333	1888	10.29	8.87	8.09
9.03667	1889	10.26	8.75	8.10
9.05	1890	10.26	8.84	8.05
9.15333	1891	10.44	8.92	8.10
9.12667	1892	10.26	8.93	8.19
9.04667	1893	10.26	8.72	8.16
9.02333	1894	10.30	8.60	8.17
9.13	1895	10.37	8.83	8.19
9.01667	1896	10.37	8.68	8.00
8.94333	1897	10.35	8.42	8.06
8.85333	1898	10.32	8.40	7.84
8.98333	1899	10.31	8.69	7.95
9.02667	1900	10.33	8.60	8.15
8.94667	1901	10.45	8.62	7.77
9.02667	1902	10.46	8.59	8.03
8.84	1903	10.37	8.44	7.71
8.80333	1904	10.37	8.39	7.65
8.80667	1905	10.29	8.43	7.70
8.9	1906	10.30	8.59	7.81
8.82	1907	10.40	8.30	7.76
8.87667	1908	10.34	8.55	7.74
8.91667	1909	10.27	8.57	7.91
9.07333	1910	10.26	8.81	8.15
9.15667	1911	10.46	8.76	8.25
9.12667	1912	10.34	8.77	8.27
9.16	1913	10.30	8.60	8.58
9.04	1914	10.37	8.65	8.10
8.95	1915	10.26	8.55	8.04
9.13667	1916	10.30	8.65	8.46
9.29667	1917	10.45	8.95	8.49
9.25	1918	10.46	8.83	8.46
9.04	1919	10.33	8.75	8.04
8.94667	1920	10.28	8.41	8.15
8.96667	1921	10.31	8.79	7.80
8.9	1922	10.32	8.63	7.75
8.77	1923	10.10	8.51	7.70
8.92	1924	10.33	8.64	7.79
8.72	1925	10.27	8.35	7.54
8.97667	1926	10.31	8.56	8.06
9.01333	1927	10.40	8.69	7.95
8.97667	1928	10.36	8.59	7.98
9.03333	1929	10.36	8.72	8.02
8.79333	1930	10.34	8.42	7.62
8.77	1931	10.29	8.39	7.63
8.93	1932	10.32	8.67	7.80
8.74667	1933	10.15	8.44	7.65
9.25	1934	10.40	9.04	8.31
9.19	1935	10.40	9.03	8.14
8.95333	1936	10.33	8.91	7.62
9.03667	1937	10.33	8.96	7.82
8.81	1938	10.33	8.70	7.40
9.00333	1939	10.26	8.74	8.01
8.59667	1940	10.29	8.34	7.16
9.13667	1941	10.41	9.02	7.98
9.14333	1942	10.41	9.04	7.98
9.10667	1943	10.41	8.93	7.98
9.08667	1944	10.37	8.91	7.98
9.04	1945	10.32	8.82	7.98
9.29667	1946	10.31	9.02	8.56
9.12667	1947	10.25	8.90	8.23
9.27333	1948	10.33	9.08	8.41
9.43	1949	10.38	9.24	8.67
9.29667	1950	10.30	9.01	8.58
9.34333	1951	10.30	9.03	8.70
9.4	1952	10.38	9.18	8.64
8.93333	1953	10.52	8.67	7.61
8.94667	1954	10.51	8.69	7.64
8.92667	1955	10.46	8.78	7.54
8.94333	1956	10.44	8.76	7.63
8.74333	1957	10.51	8.36	7.36
8.65667	1958	10.47	8.32	7.18
9.01333	1959	10.65	8.82	7.57
8.56667	1960	10.18	8.42	7.10
8.70667	1961	10.38	8.51	7.23
8.74	1962	10.13	8.48	7.61
9.03333	1963	10.51	8.69	7.90
8.91	1964	10.49	8.52	7.72
8.83667	1965	10.34	8.47	7.70
8.83667	1966	10.38	8.56	7.57
8.57667	1967	10.23	8.35	7.15
8.75667	1968	10.47	8.56	7.24
9.04333	1969	10.54	8.80	7.79
8.81667	1970	10.46	8.43	7.56
8.68	1971	10.52	8.70	6.82
8.92333	1972	10.63	8.56	7.58
8.56333	1973	10.32	8.32	7.05
8.49	1974	10.19	8.22	7.06
8.53	1975	10.34	8.29	6.96
8.66333	1976	10.46	8.40	7.13
8.60667	1977	10.40	8.58	6.84
8.62333	1978	10.23	8.30	7.34
8.60667	1979	10.47	8.15	7.20
8.76	1980	10.39	8.04	7.85
8.57667	1981	10.62	7.86	7.25
8.82	1982	10.75	8.26	7.45
8.93	1983	10.91	8.36	7.52
8.39667	1984	10.15	7.87	7.17
8.16	1985	10.09	7.46	6.93
8.67333	1986	10.47	8.01	7.54
8.38333	1987	 9.98	7.69	7.48
8.47667	1988	10.04	7.90	7.49
8.44667	1989	10.38	7.92	7.04
7.56	1990	 9.62	6.82	6.24
7.87667	1991	 9.68	7.40	6.55
8.67333	1992	10.61	7.86	7.55
7.81667	1993	 9.66	7.29	6.50
8.33667	1994	10.22	7.61	7.18
7.32	1995	 9.15	6.68	6.13
8.80333	1996	10.36	8.17	7.88
7.87667	1997	 9.59	7.30	6.74
7.89	1998	 9.62	7.49	6.56
7.73667	1999	 9.59	7.38	6.24
7.76	2000	 9.75	7.21	6.32
7.81333	2001	 9.22	7.47	6.75
7.32667	2002	 9.49	6.53	5.96
7.48667	2003	 9.46	6.85	6.15
7.49333	2004	 9.60	6.83	6.05
6.93333	2005	 8.93	6.30	5.57
7.03667	2006	 8.67	6.52	5.92
5.93	2007	 8.13	5.36	4.30
6.59	2008	 8.99	6.05	4.73
